ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
565,El Chavo ,(Mexican),4441 Sunset Blvd. ,Silverlake,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
566,El Conquistador,(Mexican),3701 Sunset Blvd. ,Silverlake,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
1924,El Goya ,"(Disco)(Very M, but best Tue.) (Ybor City)",1430 E. 7th Ave. ,Tampa,FL,"(D),(S),(E),(M)",Bars/Clubs,,1985,,,1/26/2022 1:48pm
5273,El Jardin,(Some Latins),106 Navarro,San Antonio,TX,(OC),Bars/Clubs,,1985,,,12/9/2021 2:58am
4652,El Metate,(Mexican R),1511 Locust St. ,Philadelphia,PA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
723,El Mirasol Villas,,525 Warm Sands Dr. ,Palm Springs,CA,"(H),(PE),(*)",Hotel,,1985,,,12/5/2021 12:17pm
5084,El Noa Noa,(Latins),6726 Alameda,El Paso,TX,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
1102,El Rio,(Patio),3158 Mission St. ,San Francisco,CA,(PT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
2994,Elephant Walk Guest House ,,156 Bradford St. ,Provincetown,MA,(*),Hotel,,1985,checked,,12/5/2021 12:17pm
4458,Elite Book Store,(Cruisy),814 S. Sheridan,Tulsa,OK,(*),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
5485,Elite Tavern,(Good days),622 Broadway E. ,Seattle,WA,(*),Bars/Clubs,,1985,,,12/10/2021 2:22pm
1711,Ellie's Nest Guest House,,1414 Newtown St. ,Key West,FL,"(L),(H)",Hotel,,1985,,,12/5/2021 12:17pm
1603,Embassy Club,,1800 E. Sunrise Blvd. ,Ft. Lauderdale,FL,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
796,Embers,(Bar & R)(Guereneville),16521 Main St. ,Russian River,CA,"(R),(*)","Bars/Clubs,Restaurant",,1985,,,12/5/2021 12:17pm
3329,Emerald City,(Disco)(Wed. & WE only)(See Heaven),2912 Old Canton,Jackson,MS,"(D),(*),(YC),(WE)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5486,Emerald City Inn,(Guest House),1521 Bellevue Ave. ,Seattle,WA,(*),Hotel,,1985,,,12/10/2021 2:22pm
3748,Emma Feminist Book Store,,168 Elmwood Ave. ,Buffalo,NY,,Book Store,,1985,,,12/5/2021 12:17pm
1347,Empire Baths,(Action),6923 E. Colfax,Denver,CO,(*),Bathhouses,,1985,,,12/5/2021 12:17pm
5579,Empire Lounge,,1022 Lee St. ,Charleston,WV,"(M),(D)",Bars/Clubs,,1985,,,12/10/2021 3:01pm
2858,Empire Rest. & Cafe,(24 hrs.),200 Brookline,Boston,MA,,Restaurant,,1985,,,12/5/2021 12:17pm
2604,Emporium,(Disco),2183 Highland Rd. ,Baton Rouge ,LA,"(YC),(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1348,Empress Theatre,(All male),139 Broadway,Denver,CO,,Theatre,,1985,,,12/5/2021 12:17pm
4148,Encore ,(Disco)(Thu.- Sat.- Sun.),1011 Arnold St. ,Greensboro,NC,"(*),(YC),(D),(S),(AH)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4913,Encore Cards & Gifts,,1266 Madison Ave. ,Memphis,TN,,Business,,1985,,,12/5/2021 12:17pm
1885,Engine Room,"(Some W,L)",1020 S. 4th St. ,St. Petersburg,FL,"(W),(L)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2663,Enraged Chicken,,1115 St. Mary,New Orleans,LA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
3267,Equal Times News,(Publication) (Suite 303),310 E. 39th St.,Minneapolis,MN,,Publications,,1985,,,1/31/2022 4:53am
1501,Equus,(Lunch),639 Pennsylvania Ave. S.E.,Washington,D.C.,(F&S),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4654,Equus,(Disco-D upstairs),254 S. 12th St. ,Philadelphia,PA,"(*),(D),(R),(E)","Restaurant,Bars/Clubs",,1985,,,12/5/2021 12:17pm
3796,Equus II,(Disco),296 Main St. ,Huntington,NY,"(D),(R),(*)","Restaurant,Bars/Clubs",,1985,,,12/5/2021 12:17pm
2478,Ernie's Book Store ,(Cruisy),2305 W. Broadway ,Council Bluffs,IA,(OC),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
5085,Eros Adult Book Store,(Cruisy*),4828 Montana,El Paso,TX,(*),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
4114,Eros Bookstore,,2215 Berryville Rd. ,Charlotte,NC,,Book Store,,1985,,,12/5/2021 12:17pm
3918,Eros Male Cinema,,732 8th Ave. ,Midtown- N.Y.C.,NY,(RT),Theatre,,1985,,,12/5/2021 12:17pm
1312,Erotic News ,(Books),2988 N. Main St. ,Walnut Creek,CA,,Book Store,,1985,,,12/5/2021 12:17pm
2396,Erotica House ,(Books),930 Broadway ,Ft. Wayne ,IN,,Book Store,,1985,,,12/5/2021 12:17pm
120,Erotica Motel & Book Store ,,5200 E. Van Buren ,Phoenix,AZ,(H),"Hotel,Book Store",,1985,,,12/5/2021 12:17pm
3684,Erotique Book Store,,4012 Central Ave. ,Albuquerque,NM,,Book Store,,1985,,,12/5/2021 12:17pm
895,Escape ,(Piano Bar),421 University Ave. ,San Diego,CA,(E),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3217,Escape Inn,,115 Winchester Rd. ,Monroe,MI,"(R),(H)","Restaurant,Hotel",,1985,,,12/5/2021 12:17pm
3733,Esperit ,(Sun. afternoons) (Ramada Inn),65 Front St. ,Binghamton,NY,(M),Bars/Clubs,,1985,,,1/31/2022 11:53am
2859,Esplanade Paperback Books,,103-B Charles St. ,Boston,MA,(*),Book Store,,1985,,,12/5/2021 12:17pm
1182,Essex Hotel ,,648 Ellis St. ,San Francisco,CA,(*),Hotel,,1985,,,12/5/2021 12:17pm
1103,Esta Noche,(Latins)(Salsa Disco)(Central Americans),3079 16th St. ,San Francisco,CA,"(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
