"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","","Calle San Jose","San Juan","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna","San Juan","","Baths",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","San Juan","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Jose","San Juan","(M)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Jose","San Juan","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Some Natives) San Jorge at top of hill near Ponce de Leon","","San Juan","(D),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Library (2nd floor T-Room)","","San Juan","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Library (2nd floor T-Room)","","San Juan","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Calle San Jose at Calle Forteleza","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used",""," Calle Luna","San Juan","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","905 Ponce de Leon","","San Juan","(M),(H)","Hotels",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Ave. Ponce de Leon","","San Juan","(H),(*)","Hotels",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Ave. Ponce de Leon","San Juan","(H),(M)","Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hustlers'","","Condado","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Condado","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Sheraton & Hyatt, La Concha Hotels","","Condado","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Sheraton & Hyatt La Concha Hotels","","Condado","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Avenida Fernando Junicos, opp. Regency Theatre","Condado","","Bars/Clubs",1975,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","Avenida Fernand Juncos opp. Regency Theatre","","Condado","","Bars/Clubs",1974,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(Latins) Avenida Fernandez Juncos, opp. Regency Theatre","","Condado","(RT),(*)","Bars/Clubs",1976,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(Latins)","Avenida Fernandez Juncos, opp. Regency Theatre ","Condado","(RT),(*)","Bars/Clubs",1977,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","","Condado Ave.","Condado","(M),(H)","Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","On Condado Ave. on 'the beach'","","Condado","(M),(H)","Hotels",1974,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(FFA - ""flicks"" - $3.00 minimum - some natives - ""tops"" in Condado)","1019 Ashford Ave.","Condado","(D),(*),(FFA)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","San Jorge 112","Condado","(H)","Hotels",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Condado","(P),(D),(PE)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Ashford at Avenida Escambron","Condado","(H)","Hotels",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Ashford Dr. Condado","Condado","","Hotels",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Ashford at Avenida Escambron","Condado","(H),(M)","Hotels",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Looks promising)","","Condado","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Ponce de Leon Ave.","Santurce","(S)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(touristy)","Ponce de Leon Av. ","Santurce","(S)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Touristy)","Ponce de Leon Ave.","Santurce","(S)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Native & Sailors)","Ponce de Leon Ave.","Miramar","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Old San Juan","(D)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Old San Juan","San Jose St. ","Old San Juan","(D)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Old San Juan","(D)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Old San Juan","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Old San Juan","(PE)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA,NA
