"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"Plaza Bar","On Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1970,NA,-105.938772,35.687846,"General Coordinates Used",NA,NA,NA
"Plaza Bar","on Lincoln across from the Plaza",NA,"Santa Fe","NM","(RT),(M)","Bars/Clubs",1972,NA,-105.938772,35.687846,"General Coordinates Used",NA,NA,NA
"Plaza Bar","On Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1969,NA,-105.938772,35.687846,"General Coordinates Used",NA,NA,NA
"Plaza Colon","",NA,"Santa Fe","NM","Cruisy Area,(RT)","Crusiy Areas",1976,NA,-105.938772,35.687846,"General Coordinates Used",NA,NA,NA
"Rest Stop","on I-10 E.",NA,"Lordsburg","NM","Cruisy Area","Crusiy Areas",1980,NA,-108.708665,32.350361,"General Coordinates Used",NA,NA,NA
"Rusty Cork","San Mateo Pl. just N. of I-40",NA,"Albuquerque","NM","(P),(L),(D)","Bars/Clubs",1980,NA,-106.586388,35.106875,"General Coordinates Used",NA,NA,NA
"Sandia Park","foot trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,-106.450567,35.203706,"Found",NA,NA,NA
"Sandia Park","foot trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,-106.450567,35.203706,"Found",NA,NA,NA
"Sandia Park","foot trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.450567,35.203706,"Found",NA,NA,NA
"Sandia Park","foot trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.450567,35.203706,"Found",NA,NA,NA
"Sandia Park","foot trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.450567,35.203706,"Found",NA,NA,NA
"Sandia Peak","Foot Trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,-106.450567,35.203706,"Found",NA,NA,NA
"The Plaza","",NA,"Santa Fe","NM","Cruisy Area,(RT)","Crusiy Areas",1977,NA,-105.938512,35.687428,"Found",NA,NA,NA
"The Plaza","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1978,NA,-105.938512,35.687428,"Found",NA,NA,NA
"The Plaza","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1979,NA,-105.938512,35.687428,"Found",NA,NA,NA
"The Plaza","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1980,NA,-105.938512,35.687428,"Found",NA,NA,NA
"U. of N.M.","Administration Bldg.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,-106.619781,35.084319,"Found",NA,NA,NA
