"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
126,"Studio 21","(Unisex)(Disco) at 8th","805 N. Union","Bars/Clubs","(YC),(*),(D)","Wilmington","DE",1981,NA,"","","3/17/2022 3:10pm","805 N. Union, Wilmington, DE",-75.571118,39.752501,"805 n union st, wilmington, de 19805, usa"
129,"A & A Baths","(Several floors - looks promising)","809 14th St. N.W.","Bathhouses","","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","809 14th St. N.W., Washington, DC",-77.0317334,38.9003067,"809 14th st nw, washington, dc 20005, usa"
131,"Bachelors Mill","(Some L)","500 8th St. S.E.","Bars/Clubs","(D),(L)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","500 8th St. S.E., Washington, DC",-76.9947048,38.8825789,"500 8th st se, washington, dc 20003, usa"
132,"Carroll's Tavern","(Lunch*)(RT-nights)","510 9th St. N.W.","Restaurant","(R),(RT),(*)","Washington","DC",1981,NA,"","","3/22/2022 8:02am","510 9th St. N.W., Washington, DC",-77.0243093,38.8965639,"510 9th st nw, washington, dc 20004, usa"
133,"Chesapeake House","(Nude go go boys)(Best late*)(Some 'hustlers')","746 9th St. N.W.","Restaurant,Bars/Clubs","(R),(*)","Washington","DC",1981,NA,"","","3/21/2022 7:47am","746 9th St. N.W., Washington, DC",-77.0244252,38.8993983,"746 9th st nw, washington, dc 20001, usa"
134,"Club Washington","(Baths) (Upstairs)(Tues. is leather/levi night)(2 floors)(Some SM)","20 'O ' St. S.E.","Bathhouses","(P),(*),(SM)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","20 'O ' St. S.E., Washington, DC",-77.0084185,38.8731042,"20 o st se, washington, dc 20003, usa"
135,"Cy's","(Cruisy)","2412 Wisconsin Ave. N.W.","Cruising Areas,Bars/Clubs","(*),(W),(SM)","Washington","DC",1981,NA,"","","3/21/2022 6:35pm","2412 Wisconsin Ave. N.W., Washington, DC",-77.072512,38.9213819,"2412 wisconsin ave nw, washington, dc 20007, usa"
136,"D.C. Eagle","(3 rooms)(Cruisy) betw. T St. & Massachusetts","908 7th St. N.W.","Bars/Clubs,Cruising Areas,Restaurant","(W),(SM),(PT),(*),(R)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","908 7th St. N.W., Washington, DC",-77.0225127,38.9010623,"908 7th st nw, washington, dc 20001, usa"
137,"Exile","(Disco)(Some W, levis)(Sun. buffet-C -AH -WE)  at New York Ave.","953 9th St. N.W.","Bars/Clubs","(D),(*),(W),(C),(AH),(WE)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","953 9th St. N.W., Washington, DC",-77.0239835,38.9013426,"953 9th st nw, washington, dc 20001, usa"
138,"Follies","(Cinema) (Books, flicks, 'wild back room')","24 'O' St. S.E.","Theatre,Book Store","(*)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","24 'O' St. S.E., Washington, DC",-76.9689832,38.8729477,"o st se, washington, dc, usa"
139,"Fraternity House","(Cruisy)(Enter thru alley)","2122 'P ' St. N.W.","Restaurant,Bars/Clubs,Cruising Areas","(R),(D),(E)","Washington","DC",1981,NA,"","","3/21/2022 6:35pm","2122 'P ' St. N.W., Washington, DC",-77.0476088,38.9094067,"2122 p st nw, washington, dc 20037, usa"
140,"Free Spirit Fashion","(Men's clothing) Van Ness Center","4301 Connecticut Ave. N.W.","Business","","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","4301 Connecticut Ave. N.W., Washington, DC",-77.063162,38.944807,"4301 connecticut ave nw, washington, dc 20008, usa"
143,"Glory Hole","(Flicks & Pinballs)(Below Follies)","24 'O' St. S.E.","Theatre,Business","","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","24 'O' St. S.E., Washington, DC",-76.9689832,38.8729477,"o st se, washington, dc, usa"
145,"Kramerbacks & Afterwards","(Very M Cafe & bookstore)","1517 Connecticut Ave. N.W .","Restaurant,Book Store","(M)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","1517 Connecticut Ave. N.W ., Washington, DC",-77.043757,38.910817,"1517 connecticut ave nw, washington, dc 20036, usa"
146,"Lamas Women's Store","(Books, etc)","321 7th St. S.E.","Book Store","","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","321 7th St. S.E., Washington, DC",-76.9964034,38.8855301,"321 7th st se, washington, dc 20003, usa"
147,"Lambda Rising Book Store","","2012 'S' St. N.W.","Book Store","(*)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","2012 'S' St. N.W., Washington, DC",-77.0454901,38.913911,"2012 s st nw, washington, dc 20009, usa"
148,"Le Salon","(Books, toys, peep shows, films, etc.)(2nd floor)('Action' maze)","804 14th St. N.W.","Book Store,Erotic Shop","(P)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","804 14th St. N.W., Washington, DC",-77.0318996,38.9002797,"804 14th st nw, washington, dc 20005, usa"
149,"Leather Rack","(Leather, clothes, etc.)(Above Eagle)","908 7th St. N.W.","Business,Erotic Shop","(*)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","908 7th St. N.W., Washington, DC",-77.0225127,38.9010623,"908 7th st nw, washington, dc 20001, usa"
150,"Lone Star","(Nude go go boys)","504 9th St. N.W.","Bars/Clubs","(RT),(*)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","504 9th St. N.W., Washington, DC",-77.0243084,38.8963951,"504 9th st nw, washington, dc 20004, usa"
151,"Lost & Found","(Disco)(No neon sign, but don't miss it!)","56 'L' St. S.E.","Bars/Clubs,Restaurant","(*),(YC),(D),(R)","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","56 'L' St. S.E., Washington, DC",-77.0066899,38.8776671,"56 l st se, washington, dc 20003, usa"
152,"Louie's Spartan Longe","(Some W, SM)(WE*)","305 9th St. N.W.","Bars/Clubs","(W),(SM),(WE),(*)","Washington","DC",1981,NA,"","","3/21/2022 8:05am","305 9th St. N.W., Washington, DC",-77.0236663,38.8923768,"305 9th st nw, washington, dc 20004, usa"
154,"Man's World","(Books, peep shows, erotica)(Maybe moving next to Exile at 9th & 'K' Sts.)","918 9th St. N.W.","Book Store,Erotic Shop,Bars/Clubs","","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","918 9th St. N.W., Washington, DC",-77.0248579,38.9012896,"918 9th st nw, washington, dc 20001, usa"
155,"M.C.C.","","945 'G' St. N.W.","Religious Institution","MCC","Washington","DC",1981,NA,"","","3/17/2022 3:10pm","945 'G' St. N.W., Washington, DC",-77.0256785,38.8985587,"945 g st nw, washington, dc 20001, usa"
