"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
30,"Three-O-Seven Lounge","","222 E. Roosevelt N. 3rd St.","AZ","(OC),(PT)","Bars/Clubs","Phoenix",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","222 E. Roosevelt N. 3rd St., Phoenix, AZ","-112.068901","33.4588546","330 e roosevelt st, phoenix, az 85004, usa","Geocoded"
53,"Congress","","311 E. Congress","AZ","(M),(OC),(RT)","Bars/Clubs","Tucson",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","311 E. Congress, Tucson, AZ","-110.9668233","32.222337","311 e congress st, tucson, az 85701, usa","Geocoded"
54,"Dale's Graduate","(Some W, SM, FFA, OC, YC, Latins-'tops' during cocktail hour) ","23 W. University Blvd.","AZ","(PT),(*),(W),(SM),(FFA),(OC),(YC)","Bars/Clubs","Tucson",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","23 W. University Blvd., Tucson, AZ","-110.9724985","32.231604","23 w university blvd, tucson, az 85705, usa","Geocoded"
57,"Jekyll's ","Last Culture (Disco) ( Some L) ","1455 N. Miracle Mile","AZ","(*),(L),(S),(D),(PT),(YC)","Bars/Clubs","Tucson",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","1455 N. Miracle Mile, Tucson, AZ","-110.9973286","32.2608521","1455 w miracle mile, tucson, az 85705, usa","Geocoded"
58,"Joshua Tree","(Disco) (Open Wed. thru Sun.* ) Back Pocket (PT) in rear is open 7 nights ","2921 N. 1st Ave","AZ","(YC),(D),(*)","Bars/Clubs","Tucson",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","2921 N. 1st Ave, Tucson, AZ","-110.9614089","32.2607716","2921 n 1st ave, tucson, az 85719, usa","Geocoded"
70,"Mickey's Lounge","","400 S. Haskell","AZ","(M)","Bars/Clubs","Wilcox",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","400 S. Haskell, Wilcox, AZ","-109.8350935","32.2492631","400 s haskell ave, willcox, az 85643, usa","Geocoded"
73,"Sky Chief ","(Bar only-WE) ","1530 E. 32nd St.","AZ","(M),(WE)","Bars/Clubs","Yuma",NA,1980,"","","4/20/2020 12:47am","7/27/2020 1:17pm","1530 E. 32nd St., Yuma, AZ","-114.6062893","32.6699735","1530 e 32nd st, yuma, az 85365, usa","Geocoded"
79,"St. Elmo's","","36 Brewery Gulch Ave.","AZ","(M),(HIP),(YC)","Bars/Clubs","Bisbee",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","36 Brewery Gulch Ave., Bisbee, AZ","-109.9133553","31.4485845","36 brewery gulch, bisbee, az 85603, usa","Geocoded"
84,"Black & White","","7100 N. 7th St.","AZ","(G),(D)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","7100 N. 7th St., Phoenix, AZ","-112.0654829","33.5403113","7100 n 7th st, phoenix, az 85020, usa","Geocoded"
87,"Casa de Roma","","4331 N. 16th St.","AZ","(S),(D),(*)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","4331 N. 16th St., Phoenix, AZ","-112.047249","33.4994441","4331 n 16th st, phoenix, az 85016, usa","Geocoded"
