"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Hopkins Center - Dartmouth College","","","Hanover","NH","Cruisy Areas","Crusing Areas",1974,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Hopkins Center - Dartmouth College","","","Hanover","NH","Cruisy Areas","Crusing Areas",1975,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Hopkins Center - Dartmouth College","","","Hanover","NH","Cruisy Areas","Crusing Areas",1976,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1975,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1976,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1977,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1978,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1979,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis","","","Nashua","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Main & W. Hollis St.","","","Nashua","NH","Cruisy Areas","Crusing Areas",1974,NA,", NH",-71.463937,42.757866,"unclear_coded_by_hand","Found",NA
"Manchester Civic Club","(Disco) (Some L)","","Manchester","NH","(P),(D),(L),(*)","Bars/Clubs",1980,NA,", NH",-71.454789,42.99564,"unclear_coded_by_hand","General Coordinates Used",NA
"Piece Island - Dock Area","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-70.742555,43.074656,"unclear_coded_by_hand","Found",NA
"Pierce Island - Dock Area","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1977,NA,", NH",-70.742555,43.074656,"unclear_coded_by_hand","Found",NA
"Pierce Island - Dock Area","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1978,NA,", NH",-70.742555,43.074656,"unclear_coded_by_hand","Found",NA
"Pierce Island - Dock Area","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1979,NA,", NH",-70.742555,43.074656,"unclear_coded_by_hand","Found",NA
"Sagimore","","Inquire locally","Portsmouth","NH","(*),(P),(D)","Bars/Clubs",1968,NA,"Inquire locally, NH",-70.762553,43.071755,"unclear_coded_by_hand","General Coordinates Used",NA
